ProjectStatusDate,StatusDetail,ProjectName,VerseCount
"Jun 26, 2026, 12:00:00 AM",Previously Complete,Genesis 36,43
"Jun 26, 2026, 12:00:00 AM",Previously Complete,Genesis 37,36
"Jun 26, 2026, 12:00:00 AM",Previously Complete,Genesis 38,30
"Jun 26, 2026, 12:00:00 AM",Previously Complete,Genesis 39,23
"Jun 26, 2026, 12:00:00 AM",Previously Complete,Genesis 40,23
"Jun 26, 2026, 12:00:00 AM",Previously Complete,Genesis 41,57
"Jun 26, 2026, 12:00:00 AM",Previously Complete,Genesis 42,38
"Jun 26, 2026, 12:00:00 AM",Previously Complete,Genesis 43,34
"Jun 26, 2026, 12:00:00 AM",Previously Complete,Genesis 44,34
"Jun 26, 2026, 12:00:00 AM",Previously Complete,Genesis 45,28
"Jun 26, 2026, 12:00:00 AM",Previously Complete,Genesis 46,34
"Jun 26, 2026, 12:00:00 AM",Previously Complete,Genesis 47,31
"Jun 26, 2026, 12:00:00 AM",Previously Complete,Genesis 48,22
"Jun 26, 2026, 12:00:00 AM",Previously Complete,Genesis 49,33
"Jun 26, 2026, 12:00:00 AM",Previously Complete,Genesis 50,26
"Jun 26, 2026, 12:00:00 AM",Holding,Exodus 1,22
"Jun 26, 2026, 12:00:00 AM",Holding,Exodus 2,25
"Jun 26, 2026, 12:00:00 AM",Holding,Exodus 3,22
"Jun 26, 2026, 12:00:00 AM",Holding,Exodus 4,31
"Jun 26, 2026, 12:00:00 AM",Holding,Exodus 5,23
"Jun 26, 2026, 12:00:00 AM",Holding,Exodus 6,30
"Jun 26, 2026, 12:00:00 AM",Holding,Exodus 7,25
"Jun 26, 2026, 12:00:00 AM",Holding,Exodus 8,32
"Jun 26, 2026, 12:00:00 AM",Holding,Exodus 9,35
"Jun 26, 2026, 12:00:00 AM",Holding,Exodus 10,29
"Jun 26, 2026, 12:00:00 AM",Holding,Exodus 11,10
"Jun 26, 2026, 12:00:00 AM",Holding,Exodus 12,51
"Jun 26, 2026, 12:00:00 AM",Holding,Exodus 13,22
"Jun 26, 2026, 12:00:00 AM",Holding,Exodus 14,31
"Jun 26, 2026, 12:00:00 AM",Holding,Exodus 15,27
"Jun 26, 2026, 12:00:00 AM",Holding,Exodus 16,36
"Jun 26, 2026, 12:00:00 AM",Holding,Exodus 17,16
"Jun 26, 2026, 12:00:00 AM",Holding,Exodus 18,27
"Jun 26, 2026, 12:00:00 AM",Holding,Exodus 19,25
"Jun 26, 2026, 12:00:00 AM",Holding,Exodus 20,26
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Exodus 21,36
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Exodus 22,31
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Exodus 23,33
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Exodus 24:6-10,5
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Exodus 24:11-18,8
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Exodus 24:1-5,5
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Exodus 25:10-16,7
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Exodus 25:23-30,8
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Exodus 25:17-22,6
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Exodus 25:1-9,9
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Exodus 25:31-40,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Exodus 26:28-37,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Exodus 26:19-27,9
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Exodus 26:10-18,9
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Exodus 26:1-9,9
"Jun 26, 2026, 12:00:00 AM",Consultant,Exodus 27:1-10,10
"Jun 26, 2026, 12:00:00 AM",Consultant,Exodus 27:11-21,11
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Exodus 28:11-21,11
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Exodus 28:22-32,11
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Exodus 28:1-10,10
"Jun 26, 2026, 12:00:00 AM",First Review,Exodus 28:33-43,11
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Exodus 29:11-20,10
"Jun 26, 2026, 12:00:00 AM",Drafter [HE1],Exodus 29:41-46,6
"Jun 26, 2026, 12:00:00 AM",Drafter [HE1],Exodus 29:21-30,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Exodus 29:1-10,10
"Jun 26, 2026, 12:00:00 AM",Drafter [HE1],Exodus 29:31-40,10
"Jun 26, 2026, 12:00:00 AM",First Review,Exodus 30:11-20,10
"Jun 26, 2026, 12:00:00 AM",First Review,Exodus 30:1-10,10
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 30:31-38,8
"Jun 26, 2026, 12:00:00 AM",Drafter [HE1],Exodus 30:21-30,10
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 31:1-10,10
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 31:11-18,8
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 32:21-30,10
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 32:11-20,10
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 32:31-35,5
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 32:1-10,10
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 33:1-11,11
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 33:12-23,12
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 34:21-30,10
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 34:31-35,5
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 34:11-20,10
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 34:1-10,10
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 35:21-30,10
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 35:11-20,10
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 35:1-10,10
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 35:31-35,5
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 36:11-20,10
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 36:21-30,10
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 36:1-10,10
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 36:31-38,8
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 37:1-10,10
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 37:21-29,9
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 37:11-20,10
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 38:11-20,10
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 38:21-31,11
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 38:1-10,10
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 39:1-10,10
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 39:33-43,11
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 39:11-21,11
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 39:22-32,11
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 40:21-30,10
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 40:11-20,10
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 40:1-10,10
"Jun 26, 2026, 12:00:00 AM",STACK,Exodus 40:31-38,8
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Leviticus 1:1-10,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Leviticus 1:11-17,7
"Jun 26, 2026, 12:00:00 AM",Consultant,Leviticus 2:11-16,6
"Jun 26, 2026, 12:00:00 AM",Consultant,Leviticus 2:1-10,10
"Jun 26, 2026, 12:00:00 AM",Second Review,Leviticus 3:12-17,6
"Jun 26, 2026, 12:00:00 AM",Second Review,Leviticus 3:6-11,6
"Jun 26, 2026, 12:00:00 AM",Second Review,Leviticus 3:1-5,5
"Jun 26, 2026, 12:00:00 AM",Consultant,Leviticus 4:31-35,5
"Jun 26, 2026, 12:00:00 AM",Consultant,Leviticus 4:21-30,10
"Jun 26, 2026, 12:00:00 AM",Consultant,Leviticus 4:1-10,10
"Jun 26, 2026, 12:00:00 AM",Consultant,Leviticus 4:11-20,10
"Jun 26, 2026, 12:00:00 AM",Consultant,Leviticus 5:7-13,7
"Jun 26, 2026, 12:00:00 AM",Consultant,Leviticus 5:1-6,6
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 5:14-19,6
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 6:1-10,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 6:21-30,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 6:11-20,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Leviticus 7:11-20,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Leviticus 7:31-38,8
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Leviticus 7:1-10,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Leviticus 7: 21-30,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 8:31-36,6
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 8:1-10,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 8:11-20,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 8:21-30,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 9:1-8,8
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 9:9-16,8
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 9:17-24,8
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 10:11-20,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 10:1-10,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 11:31-40,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 11:1-10,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 11:11-20,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 11:41-47,7
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 11:21-30,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 12:1-8,8
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 13:1-10,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 13:41-50,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 13:51-59,9
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 13:31-40,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 13:21-30,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 13:11-20,10
"Jun 26, 2026, 12:00:00 AM",Drafter [HE1],Leviticus 14:21-30,10
"Jun 26, 2026, 12:00:00 AM",Drafter [HE1],Leviticus 14:11-20,10
"Jun 26, 2026, 12:00:00 AM",First Review,Leviticus 14:31-40,10
"Jun 26, 2026, 12:00:00 AM",First Review,Leviticus 14:41-50,10
"Jun 26, 2026, 12:00:00 AM",First Review,Leviticus 14:51-57,7
"Jun 26, 2026, 12:00:00 AM",Drafter [HE1],Leviticus 14:1-10,10
"Jun 26, 2026, 12:00:00 AM",Drafter [HE1],Leviticus 15:23-33,11
"Jun 26, 2026, 12:00:00 AM",First Review,Leviticus 15:1-11,11
"Jun 26, 2026, 12:00:00 AM",First Review,Leviticus 15:12-22,11
"Jun 26, 2026, 12:00:00 AM",Drafter [HE1],Leviticus 16:11-20,10
"Jun 26, 2026, 12:00:00 AM",Drafter [HE1],Leviticus 16:1-10,10
"Jun 26, 2026, 12:00:00 AM",Drafter [HE1],Leviticus 16:21-30,10
"Jun 26, 2026, 12:00:00 AM",First Review,Leviticus 16:31-34,4
"Jun 26, 2026, 12:00:00 AM",Drafter [HE1],Leviticus 17:1-10,10
"Jun 26, 2026, 12:00:00 AM",Drafter [HE1],Leviticus 17:11-16,6
"Jun 26, 2026, 12:00:00 AM",First Review,Leviticus 18:11-20,10
"Jun 26, 2026, 12:00:00 AM",First Review,Leviticus 18:1-10,10
"Jun 26, 2026, 12:00:00 AM",First Review,Leviticus 18:21-30,10
"Jun 26, 2026, 12:00:00 AM",First Review,Leviticus 19:21-30,10
"Jun 26, 2026, 12:00:00 AM",Drafter [HE1],Leviticus 19:11-20,10
"Jun 26, 2026, 12:00:00 AM",First Review,Leviticus 19:31-37,7
"Jun 26, 2026, 12:00:00 AM",First Review,Leviticus 19:1-10,10
"Jun 26, 2026, 12:00:00 AM",First Review,Leviticus 20:1-10,10
"Jun 26, 2026, 12:00:00 AM",First Review,Leviticus 20:21-27,7
"Jun 26, 2026, 12:00:00 AM",First Review,Leviticus 20:11-20,10
"Jun 26, 2026, 12:00:00 AM",First Review,Leviticus 21:13-24,12
"Jun 26, 2026, 12:00:00 AM",First Review,Leviticus 21:1-12,12
"Jun 26, 2026, 12:00:00 AM",First Review,Leviticus 22:23-33,11
"Jun 26, 2026, 12:00:00 AM",First Review,Leviticus 22:12-22,11
"Jun 26, 2026, 12:00:00 AM",First Review,Leviticus 22:1-11,11
"Jun 26, 2026, 12:00:00 AM",First Review,Leviticus 23:23-33,11
"Jun 26, 2026, 12:00:00 AM",First Review,Leviticus 23:34-44,11
"Jun 26, 2026, 12:00:00 AM",First Review,Leviticus 23:12-22,11
"Jun 26, 2026, 12:00:00 AM",First Review,Leviticus 23:1-11,11
"Jun 26, 2026, 12:00:00 AM",First Review,Leviticus 24:13-23,11
"Jun 26, 2026, 12:00:00 AM",First Review,Leviticus 24:1-12,12
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 25:26-35,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 25:1-7,7
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 25:16-25,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 25:36-45,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 25:8-15,8
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Leviticus 25:46-55,10
"Jun 26, 2026, 12:00:00 AM",Not Started,Leviticus 26,46
"Jun 26, 2026, 12:00:00 AM",Not Started,Leviticus 27,34
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 1:16-25,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 1:36-46,11
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 1:1-15,15
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 1:47-54,8
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 1:26-35,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 2:10-18,9
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 2:1-9,9
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 2:27-34,8
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 2:19-26,8
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 3:41-51,11
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 3:1-10,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 3:11-20,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 3:31-40,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 3:21-30,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 4:31-40,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 4:1-10,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 4:41-49,9
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 4:11-20,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 4:21-30,10
"Jun 26, 2026, 12:00:00 AM",Phase 1 Sign-off,Numbers 5:11-21,11
"Jun 26, 2026, 12:00:00 AM",Consultant,Numbers 5:22-31,10
"Jun 26, 2026, 12:00:00 AM",Phase 1 Sign-off,Numbers 5:1-10,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 6:19-27,9
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 6:10-18,9
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 6:1-9,9
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 7:13-23,11
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 7:36-47,12
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 7:48-59,12
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 7:1-12,12
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 7:72-83,12
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 7:84-89,6
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 7:60-71,12
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 7:24-35,12
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 8:19-26,8
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 8:1-9,9
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 8:10-18,9
"Jun 26, 2026, 12:00:00 AM",Phase 1 Sign-off,Numbers 9:9-16,8
"Jun 26, 2026, 12:00:00 AM",Phase 1 Sign-off,Numbers 9:17-23,7
"Jun 26, 2026, 12:00:00 AM",Consultant,Numbers 9:1-8,8
"Jun 26, 2026, 12:00:00 AM",Phase 1 Sign-off,Numbers 10:28-36,9
"Jun 26, 2026, 12:00:00 AM",Phase 1 Sign-off,Numbers 10:1-9,9
"Jun 26, 2026, 12:00:00 AM",Phase 1 Sign-off,Numbers 10:19-27,9
"Jun 26, 2026, 12:00:00 AM",Consultant,Numbers 10:10-18,9
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 11:28-35,8
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 11:10-18,9
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 11:1-9,9
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 11:19-27,9
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 12:1-8,8
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 12:9-16,8
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 13:12-22,11
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 13:23-33,11
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 13:1-11,11
"Jun 26, 2026, 12:00:00 AM",Consultant,Numbers 14:41-45,5
"Jun 26, 2026, 12:00:00 AM",Phase 1 Sign-off,Numbers 14:1-10,10
"Jun 26, 2026, 12:00:00 AM",Consultant,Numbers 14:21-30,10
"Jun 26, 2026, 12:00:00 AM",Consultant,Numbers 14:31-40,10
"Jun 26, 2026, 12:00:00 AM",Consultant,Numbers 14:11-20,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 15:21-30,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 15:11-20,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 15:31-41,11
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 15:1-10,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 16:31-40,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 16:21-30,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 16:41-50,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 16:1-10,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 16:11-20,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 17:1-7,7
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 17:8-13,6
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 18:23-32,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 18:12-22,11
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 18:1-11,11
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 19:1-11,11
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 19:12-22,11
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 20:1-10,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 20:21-29,9
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 20:11-20,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 21:11-20,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 21:21-30,10
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 21:31-35,5
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Numbers 21:1-10,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Numbers 22:21-30,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Numbers 22:1-10,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Numbers 22:11-20,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Numbers 22:31-41,11
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Numbers 23:1-10,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Numbers 23:11-20,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Numbers 23:21-30,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Numbers 24:21-25,5
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Numbers 24:11-20,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Numbers 24:1-10,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Numbers 25:1-10,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Numbers 25:11-18,8
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Numbers 26:55-65,11
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Numbers 26:1-10,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Numbers 26:11-21,11
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Numbers 26:22-32,11
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Numbers 26:44-54,11
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Numbers 26:33-43,11
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Numbers 27:1-11,11
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Numbers 27:12-23,12
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Numbers 28:21-31,11
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Numbers 28:11-20,10
"Jun 26, 2026, 12:00:00 AM",Zoho > ParaText,Numbers 28:1-10,10
"Jun 26, 2026, 12:00:00 AM",Not Started,Numbers 29,40
"Jun 26, 2026, 12:00:00 AM",Not Started,Numbers 30,16
"Jun 26, 2026, 12:00:00 AM",Not Started,Numbers 31,54
"Jun 26, 2026, 12:00:00 AM",Not Started,Numbers 32,42
"Jun 26, 2026, 12:00:00 AM",Not Started,Numbers 33,56
"Jun 26, 2026, 12:00:00 AM",Not Started,Numbers 34,29
"Jun 26, 2026, 12:00:00 AM",Not Started,Numbers 35,34
"Jun 26, 2026, 12:00:00 AM",Not Started,Numbers 36,13
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Deuteronomy 1:1-6,6
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Deuteronomy 1:19-24,6
"Jun 26, 2026, 12:00:00 AM",Phase 3 (POLISHING),Deuteronomy 1:25-30,6
